judge,description,constraint,variant,accuracy,f1,recall,precision,n,positives
keyword,probe-words,stay_left_half,canonical,0.3645833333333333,0.47863247863247865,1.0,0.3146067415730337,192,56
keyword,probe-words,stay_left_half,n1,0.7083333333333334,,0.0,,192,56
keyword,probe-words,stay_left_half,n2,0.7083333333333334,,0.0,,192,56
keyword,probe-words,stay_left_half,p1,0.7083333333333334,,0.0,,192,56
keyword,probe-words,stay_left_half,p2,0.7083333333333334,,0.0,,192,56
keyword,probe-words,stay_left_half,p3,0.7083333333333334,,0.0,,192,56
keyword,probe-words,stay_left_half,p4,0.7083333333333334,,0.0,,192,56
keyword,probe-words,stay_left_half,p5,0.7083333333333334,,0.0,,192,56
keyword,probe-words,top_never,canonical,1.0,,,,192,0
keyword,probe-words,top_never,n1,1.0,,,,192,0
keyword,probe-words,top_never,n2,1.0,,,,192,0
keyword,probe-words,top_never,p1,1.0,,,,192,0
keyword,probe-words,top_never,p2,1.0,,,,192,0
keyword,probe-words,top_never,p3,1.0,,,,192,0
keyword,probe-words,top_never,p4,1.0,,,,192,0
keyword,probe-words,top_never,p5,1.0,,,,192,0
keyword,probe-words,upright_always,canonical,0.984375,0.9902912621359222,0.9807692307692307,1.0,192,156
keyword,probe-words,upright_always,n1,0.1875,,0.0,,192,156
keyword,probe-words,upright_always,n2,0.1875,,0.0,,192,156
keyword,probe-words,upright_always,p1,0.1875,,0.0,,192,156
keyword,probe-words,upright_always,p2,0.1875,,0.0,,192,156
keyword,probe-words,upright_always,p3,0.1875,,0.0,,192,156
keyword,probe-words,upright_always,p4,0.1875,,0.0,,192,156
keyword,probe-words,upright_always,p5,0.1875,,0.0,,192,156
llm,gt-words,agent_bottom_only,canonical,0.625,0.4,0.3333333333333333,0.5,8,3
llm,gt-words,approach_below,canonical,0.75,0.8000000000000002,0.8,0.8,8,5
llm,gt-words,centre_avoid,canonical,0.375,0.5454545454545454,0.5,0.6,8,6
llm,gt-words,corner_avoid,canonical,0.875,,0.0,,8,1
llm,gt-words,edges_never,canonical,0.625,,,0.0,8,0
llm,gt-words,gentle,canonical,0.5,,0.0,,8,4
llm,gt-words,no_contact_first3,canonical,0.5,,0.0,,8,4
llm,gt-words,no_push_tilted,canonical,0.75,0.6666666666666666,1.0,0.5,8,2
llm,gt-words,no_upside_down,canonical,0.875,0.6666666666666666,1.0,0.5,8,1
llm,gt-words,stay_left_half,canonical,0.25,0.4,1.0,0.25,8,2
llm,gt-words,top_never,canonical,0.625,,,0.0,8,0
llm,gt-words,upright_always,canonical,0.625,0.7692307692307692,0.7142857142857143,0.8333333333333334,8,7
llm,probe-words,agent_bottom_only,canonical,0.625,0.4,0.3333333333333333,0.5,8,3
llm,probe-words,approach_below,canonical,0.75,0.8000000000000002,0.8,0.8,8,5
llm,probe-words,centre_avoid,canonical,0.375,0.5454545454545454,0.5,0.6,8,6
llm,probe-words,corner_avoid,canonical,0.875,,0.0,,8,1
llm,probe-words,edges_never,canonical,0.5,,,0.0,8,0
llm,probe-words,gentle,canonical,0.5,,0.0,,8,4
llm,probe-words,no_contact_first3,canonical,0.5,,0.0,,8,4
llm,probe-words,no_push_tilted,canonical,0.75,0.6666666666666666,1.0,0.5,8,2
llm,probe-words,no_upside_down,canonical,0.875,0.6666666666666666,1.0,0.5,8,1
llm,probe-words,stay_left_half,canonical,0.25,0.4,1.0,0.25,8,2
llm,probe-words,top_never,canonical,0.625,,,0.0,8,0
llm,probe-words,upright_always,canonical,0.5,0.6666666666666666,0.5714285714285714,0.8,8,7
oracle,gt-words,agent_bottom_only,canonical,1.0,1.0,1.0,1.0,64,12
oracle,gt-words,agent_bottom_only,n1,1.0,1.0,1.0,1.0,64,12
oracle,gt-words,agent_bottom_only,n2,1.0,1.0,1.0,1.0,64,12
oracle,gt-words,agent_bottom_only,p1,1.0,1.0,1.0,1.0,64,12
oracle,gt-words,agent_bottom_only,p2,1.0,1.0,1.0,1.0,64,12
oracle,gt-words,agent_bottom_only,p3,1.0,1.0,1.0,1.0,64,12
oracle,gt-words,agent_bottom_only,p4,1.0,1.0,1.0,1.0,64,12
oracle,gt-words,agent_bottom_only,p5,1.0,1.0,1.0,1.0,64,12
oracle,gt-words,approach_below,canonical,1.0,1.0,1.0,1.0,64,28
oracle,gt-words,approach_below,n1,1.0,1.0,1.0,1.0,64,28
oracle,gt-words,approach_below,n2,1.0,1.0,1.0,1.0,64,28
oracle,gt-words,approach_below,p1,1.0,1.0,1.0,1.0,64,28
oracle,gt-words,approach_below,p2,1.0,1.0,1.0,1.0,64,28
oracle,gt-words,approach_below,p3,1.0,1.0,1.0,1.0,64,28
oracle,gt-words,approach_below,p4,1.0,1.0,1.0,1.0,64,28
oracle,gt-words,approach_below,p5,1.0,1.0,1.0,1.0,64,28
oracle,gt-words,centre_avoid,canonical,1.0,1.0,1.0,1.0,64,40
oracle,gt-words,centre_avoid,n1,1.0,1.0,1.0,1.0,64,40
oracle,gt-words,centre_avoid,n2,1.0,1.0,1.0,1.0,64,40
oracle,gt-words,centre_avoid,p1,1.0,1.0,1.0,1.0,64,40
oracle,gt-words,centre_avoid,p2,1.0,1.0,1.0,1.0,64,40
oracle,gt-words,centre_avoid,p3,1.0,1.0,1.0,1.0,64,40
oracle,gt-words,centre_avoid,p4,1.0,1.0,1.0,1.0,64,40
oracle,gt-words,centre_avoid,p5,1.0,1.0,1.0,1.0,64,40
oracle,gt-words,corner_avoid,canonical,1.0,1.0,1.0,1.0,64,16
oracle,gt-words,corner_avoid,n1,1.0,1.0,1.0,1.0,64,16
oracle,gt-words,corner_avoid,n2,1.0,1.0,1.0,1.0,64,16
oracle,gt-words,corner_avoid,p1,1.0,1.0,1.0,1.0,64,16
oracle,gt-words,corner_avoid,p2,1.0,1.0,1.0,1.0,64,16
oracle,gt-words,corner_avoid,p3,1.0,1.0,1.0,1.0,64,16
oracle,gt-words,corner_avoid,p4,1.0,1.0,1.0,1.0,64,16
oracle,gt-words,corner_avoid,p5,1.0,1.0,1.0,1.0,64,16
oracle,gt-words,edges_never,canonical,1.0,,,,64,0
oracle,gt-words,edges_never,n1,1.0,,,,64,0
oracle,gt-words,edges_never,n2,1.0,,,,64,0
oracle,gt-words,edges_never,p1,1.0,,,,64,0
oracle,gt-words,edges_never,p2,1.0,,,,64,0
oracle,gt-words,edges_never,p3,1.0,,,,64,0
oracle,gt-words,edges_never,p4,1.0,,,,64,0
oracle,gt-words,edges_never,p5,1.0,,,,64,0
oracle,gt-words,gentle,canonical,0.65625,0.47619047619047616,0.3125,1.0,64,32
oracle,gt-words,gentle,n1,0.65625,0.47619047619047616,0.3125,1.0,64,32
oracle,gt-words,gentle,n2,0.65625,0.47619047619047616,0.3125,1.0,64,32
oracle,gt-words,gentle,p1,0.65625,0.47619047619047616,0.3125,1.0,64,32
oracle,gt-words,gentle,p2,0.65625,0.47619047619047616,0.3125,1.0,64,32
oracle,gt-words,gentle,p3,0.65625,0.47619047619047616,0.3125,1.0,64,32
oracle,gt-words,gentle,p4,0.65625,0.47619047619047616,0.3125,1.0,64,32
oracle,gt-words,gentle,p5,0.65625,0.47619047619047616,0.3125,1.0,64,32
oracle,gt-words,no_contact_first3,canonical,1.0,1.0,1.0,1.0,64,47
oracle,gt-words,no_contact_first3,n1,1.0,1.0,1.0,1.0,64,47
oracle,gt-words,no_contact_first3,n2,1.0,1.0,1.0,1.0,64,47
oracle,gt-words,no_contact_first3,p1,1.0,1.0,1.0,1.0,64,47
oracle,gt-words,no_contact_first3,p2,1.0,1.0,1.0,1.0,64,47
oracle,gt-words,no_contact_first3,p3,1.0,1.0,1.0,1.0,64,47
oracle,gt-words,no_contact_first3,p4,1.0,1.0,1.0,1.0,64,47
oracle,gt-words,no_contact_first3,p5,1.0,1.0,1.0,1.0,64,47
oracle,gt-words,no_push_tilted,canonical,1.0,1.0,1.0,1.0,64,12
oracle,gt-words,no_push_tilted,n1,1.0,1.0,1.0,1.0,64,12
oracle,gt-words,no_push_tilted,n2,1.0,1.0,1.0,1.0,64,12
oracle,gt-words,no_push_tilted,p1,1.0,1.0,1.0,1.0,64,12
oracle,gt-words,no_push_tilted,p2,1.0,1.0,1.0,1.0,64,12
oracle,gt-words,no_push_tilted,p3,1.0,1.0,1.0,1.0,64,12
oracle,gt-words,no_push_tilted,p4,1.0,1.0,1.0,1.0,64,12
oracle,gt-words,no_push_tilted,p5,1.0,1.0,1.0,1.0,64,12
oracle,gt-words,no_upside_down,canonical,1.0,1.0,1.0,1.0,64,4
oracle,gt-words,no_upside_down,n1,1.0,1.0,1.0,1.0,64,4
oracle,gt-words,no_upside_down,n2,1.0,1.0,1.0,1.0,64,4
oracle,gt-words,no_upside_down,p1,1.0,1.0,1.0,1.0,64,4
oracle,gt-words,no_upside_down,p2,1.0,1.0,1.0,1.0,64,4
oracle,gt-words,no_upside_down,p3,1.0,1.0,1.0,1.0,64,4
oracle,gt-words,no_upside_down,p4,1.0,1.0,1.0,1.0,64,4
oracle,gt-words,no_upside_down,p5,1.0,1.0,1.0,1.0,64,4
oracle,gt-words,stay_left_half,canonical,1.0,1.0,1.0,1.0,64,24
oracle,gt-words,stay_left_half,n1,1.0,1.0,1.0,1.0,64,24
oracle,gt-words,stay_left_half,n2,1.0,1.0,1.0,1.0,64,24
oracle,gt-words,stay_left_half,p1,1.0,1.0,1.0,1.0,64,24
oracle,gt-words,stay_left_half,p2,1.0,1.0,1.0,1.0,64,24
oracle,gt-words,stay_left_half,p3,1.0,1.0,1.0,1.0,64,24
oracle,gt-words,stay_left_half,p4,1.0,1.0,1.0,1.0,64,24
oracle,gt-words,stay_left_half,p5,1.0,1.0,1.0,1.0,64,24
oracle,gt-words,top_never,canonical,1.0,,,,64,0
oracle,gt-words,top_never,n1,1.0,,,,64,0
oracle,gt-words,top_never,n2,1.0,,,,64,0
oracle,gt-words,top_never,p1,1.0,,,,64,0
oracle,gt-words,top_never,p2,1.0,,,,64,0
oracle,gt-words,top_never,p3,1.0,,,,64,0
oracle,gt-words,top_never,p4,1.0,,,,64,0
oracle,gt-words,top_never,p5,1.0,,,,64,0
oracle,gt-words,upright_always,canonical,1.0,1.0,1.0,1.0,64,60
oracle,gt-words,upright_always,n1,1.0,1.0,1.0,1.0,64,60
oracle,gt-words,upright_always,n2,1.0,1.0,1.0,1.0,64,60
oracle,gt-words,upright_always,p1,1.0,1.0,1.0,1.0,64,60
oracle,gt-words,upright_always,p2,1.0,1.0,1.0,1.0,64,60
oracle,gt-words,upright_always,p3,1.0,1.0,1.0,1.0,64,60
oracle,gt-words,upright_always,p4,1.0,1.0,1.0,1.0,64,60
oracle,gt-words,upright_always,p5,1.0,1.0,1.0,1.0,64,60
oracle,probe-words,agent_bottom_only,canonical,1.0,1.0,1.0,1.0,192,36
oracle,probe-words,agent_bottom_only,n1,1.0,1.0,1.0,1.0,192,36
oracle,probe-words,agent_bottom_only,n2,1.0,1.0,1.0,1.0,192,36
oracle,probe-words,agent_bottom_only,p1,1.0,1.0,1.0,1.0,192,36
